expert_id	country_id	nr_experts	party	party_id	intradem	personalised	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	gender	accuracy	self_leftright	discipline	expertise
2003.0	2.0	14.0	"OVLD"	203.0	8	6	2	5	5	5	5	5	3	6	8	4	8	3	7	8	0	7	4	1	"1"
2004.0	2.0	14.0	"OVLD"	203.0	6	5	5	2	3	2	0	8	2	8	10	5	8	2	5	9	1	6	3	1	"3,4,7"
2005.0	2.0	14.0	"OVLD"	203.0	5	6		6	5	5	3	5	4	6	9	5	7	6	5	6	0	3	4	7	"1,4"
2006.0	2.0	14.0	"OVLD"	203.0		5	4	3	4	7	3	6	4	7	7	4	8	6	3	8	0	3		1	"1,4"
2007.0	2.0	14.0	"OVLD"	203.0	7	6	1	2	4	4	1	7	5	6	7	4	8	3	3	7	0	7	2	1	"7,8,13"
2008.0	2.0	14.0	"OVLD"	203.0	5	8	3	2	2	4	3	6	2	7	10	6	9	6	2	7	0	8	7	1	"1,2,4,13"
2009.0	2.0	14.0	"OVLD"	203.0	8	6	3	4	5	1	1	8	2	6	6	3	9	6	8	9	0	6		1	"4"
2010.0	2.0	14.0	"OVLD"	203.0	8	4	3	0	0	6	3	8	6	6	9	4	10		7	10	0	8	5	1	"1"
2011.0	2.0	14.0	"OVLD"	203.0	7	6	3	0	2	5	1	8	3	6	7	5	8	3	5	8	1	7	4	1	"4"
2012.0	2.0	14.0	"OVLD"	203.0	5	5	4	3	4	6	2	7	6	6	7	5	9	3	2	9	1	4	3	1	"1,15"
2013.0	2.0	14.0	"OVLD"	203.0	6	6	2	1	1	6	3	5	5	6	7	4	8	3	6	8	0	5	3	1	"1,2,4,10,13"
2014.0	2.0	14.0	"OVLD"	203.0	6	4	3	3	1	2	2	7	5	6	7	4	7	5	6	7	0	5	6	1	"1,2,3,4,13"
2001.0	2.0	14.0	"SPa"	204.0	6	6	7	3	3	1	4	8	9	2	2	8	10	2	2	8	0	8	5	4	"2,4"
2002.0	2.0	14.0	"SPa"	204.0	7	5	5	0	5	7	6	7	7	1	1	5	10	7	1	7	1	2	2	1	"15"
2003.0	2.0	14.0	"SPa"	204.0	6	6	2	5	5	5	4	4	3	3	3	5	7	3	6	8	0	7	4	1	"1"
2004.0	2.0	14.0	"SPa"	204.0	7	6	8	7	7	7	7	7	6	2	3	6	9	1	2	9	1	6	3	1	"3,4,7"
2005.0	2.0	14.0	"SPa"	204.0	6	5		6	6	6	6	4	4	4	4	6	7	5	5	8	0	3	4	7	"1,4"
2006.0	2.0	14.0	"SPa"	204.0	7	7	7	4	6	8	7	4	7	4	4	6	7	3	4	6	0	3		1	"1,4"
2007.0	2.0	14.0	"SPa"	204.0	5	2	5	2	4	4	3	7	6	3	3	7	8	2	3	7	0	7	2	1	"7,8,13"
2008.0	2.0	14.0	"SPa"	204.0	4	6	4	2	4	4	3	6	6	2	1	7	9	6	5	8	0	8	7	1	"1,2,4,13"
2009.0	2.0	14.0	"SPa"	204.0	7	6	5	3	2	1	2	9	2	2	3	6	8	5	7	10	0	6		1	"4"
2010.0	2.0	14.0	"SPa"	204.0	8	4	3	0	0	6	2	8	5	4	2	6	8		5	9	0	8	5	1	"1"
2011.0	2.0	14.0	"SPa"	204.0	7	5	5	2	3	6	6	6	5	3	3	6	6	3	4	8	1	7	4	1	"4"
2012.0	2.0	14.0	"SPa"	204.0	4	5	4	3	4	5	3	7	5	4	3	6	9	3	3	8	1	4	3	1	"1,15"
2013.0	2.0	14.0	"SPa"	204.0	5	4	4	6	2	3	6	5	6	3	3	6	7	2	3	8	0	5	3	1	"1,2,4,10,13"
2014.0	2.0	14.0	"SPa"	204.0	7	4	3	4	2	3	2	7	6	3	2	6	7	3	4	7	0	5	6	1	"1,2,3,4,13"
2001.0	2.0	14.0	"GROEN"	205.0	8	6	6	0	0	0	8	10	10	0	0	10	6	0	0	10	0	8	5	4	"2,4"
2002.0	2.0	14.0	"GROEN"	205.0	9	5	5	1	5	7	3	8	8	0	0	6	10	1	0	10	1	2	2	1	"15"
2003.0	2.0	14.0	"GROEN"	205.0	9	3	2	5	5	5	6	4	3	3	3	7	8	2	4	9	0	7	4	1	"1"
2004.0	2.0	14.0	"GROEN"	205.0	9	5	5	2	2	7	6	7	7	2	3	10	10	0	1	10	1	6	3	1	"3,4,7"
2005.0	2.0	14.0	"GROEN"	205.0	7	6		7	5	5	8	7	5	3	5	6	7	3	5	8	0	3	4	7	"1,4"
2006.0	2.0	14.0	"GROEN"	205.0	8	4	6	4	6	7	7	4	7	3	3	7	7	3	3	8	0	3		1	"1,4"
2007.0	2.0	14.0	"GROEN"	205.0	9	7	6	7	7	4	7	6	7	3	3	7	7	3	2	8	0	7	2	1	"7,8,13"
2008.0	2.0	14.0	"GROEN"	205.0	8	7	2	1	2	5	6	6	5	1	1	9	9	2	5	10	0	8	7	1	"1,2,4,13"
2009.0	2.0	14.0	"GROEN"	205.0	10	5	4	2	1	1	1	7	1	2	3	7	8	2	3	10	0	6		1	"4"
2010.0	2.0	14.0	"GROEN"	205.0	10	4	4	0	0	6	4	8	8	2	3	7	9		4	10	0	8	5	1	"1"
2011.0	2.0	14.0	"GROEN"	205.0	7	5	3	1	2	5	3	7	4	3	4	7	6	2	3	8	1	7	4	1	"4"
2012.0	2.0	14.0	"GROEN"	205.0	6	4	2	3	3	7	2	7	2	3	3	9	9	2	2	9	1	4	3	1	"1,15"
2013.0	2.0	14.0	"GROEN"	205.0	9	3	1	1	3	5	6	6	6	2	2	7	9	1	1	9	0	5	3	1	"1,2,4,10,13"
2014.0	2.0	14.0	"GROEN"	205.0	8	4	4	3	2	2	2	6	6	2	2	7	7	1	2	8	0	5	6	1	"1,2,3,4,13"
2001.0	2.0	14.0	"VB"	206.0	2	8	9	10	10	10	10	0	10	10	7	0	0	10	10	0	0	8	5	4	"2,4"
2002.0	2.0	14.0	"VB"	206.0	1	10	9	9	9	10	9	0	10	10		0	3	10	9	0	1	2	2	1	"15"
2003.0	2.0	14.0	"VB"	206.0	3	6	8	8	8	8	9	3	9	9	4	1	3	9	9	3	0	7	4	1	"1"
